algorithm, output_bits, input_bits, efficiency, min_entropy_input_rate
cbc-mac  ,  128  ,  256  ,  0.7293  ,  0.6856
cbc-mac  ,  128  ,  384  ,  0.7292  ,  0.4571
cbc-mac  ,  128  ,  512  ,  0.7293  ,  0.3428
cbc-mac  ,  128  ,  640  ,  0.7291  ,  0.2743
cbc-mac  ,  128  ,  768  ,  0.7291  ,  0.2286
cbc-mac  ,  128  ,  896  ,  0.7292  ,  0.1959
cbc-mac  ,  128  ,  1024  ,  0.7293  ,  0.1714
cbc-mac  ,  128  ,  1152  ,  0.7291  ,  0.1524
cbc-mac  ,  128  ,  1280  ,  0.7289  ,  0.1372
cbc-mac  ,  128  ,  1408  ,  0.7290  ,  0.1247
cbc-mac  ,  128  ,  1536  ,  0.7291  ,  0.1143
cbc-mac  ,  128  ,  1664  ,  0.7291  ,  0.1055
cbc-mac  ,  128  ,  1792  ,  0.7289  ,  0.0980
cbc-mac  ,  128  ,  1920  ,  0.7286  ,  0.0915
cbc-mac  ,  128  ,  2048  ,  0.7293  ,  0.0857
cbc-mac  ,  128  ,  2176  ,  0.7289  ,  0.0807
cbc-mac  ,  128  ,  2304  ,  0.7291  ,  0.0762
cbc-mac  ,  128  ,  2432  ,  0.7290  ,  0.0722
cbc-mac  ,  128  ,  2560  ,  0.7289  ,  0.0686
cbc-mac  ,  128  ,  2688  ,  0.7292  ,  0.0653
cbc-mac  ,  128  ,  2816  ,  0.7284  ,  0.0624
cbc-mac  ,  128  ,  2944  ,  0.7283  ,  0.0597
cbc-mac  ,  128  ,  3072  ,  0.7284  ,  0.0572
cbc-mac  ,  128  ,  3200  ,  0.7286  ,  0.0549
cbc-mac  ,  128  ,  3328  ,  0.7284  ,  0.0528
cbc-mac  ,  128  ,  3456  ,  0.7291  ,  0.0508
cbc-mac  ,  128  ,  3584  ,  0.7289  ,  0.0490
cbc-mac  ,  128  ,  3712  ,  0.7290  ,  0.0473
cbc-mac  ,  128  ,  3840  ,  0.7278  ,  0.0458
cbc-mac  ,  128  ,  3968  ,  0.7282  ,  0.0443
cbc-mac  ,  128  ,  4096  ,  0.7284  ,  0.0429
cbc-mac  ,  128  ,  4224  ,  0.7284  ,  0.0416
cbc-mac  ,  128  ,  4352  ,  0.7280  ,  0.0404
cbc-mac  ,  128  ,  4480  ,  0.7289  ,  0.0392
cbc-mac  ,  128  ,  4608  ,  0.7291  ,  0.0381
cbc-mac  ,  128  ,  4736  ,  0.7285  ,  0.0371
cbc-mac  ,  128  ,  4864  ,  0.7290  ,  0.0361
cbc-mac  ,  128  ,  4992  ,  0.7284  ,  0.0352
cbc-mac  ,  128  ,  5120  ,  0.7289  ,  0.0343
cbc-mac  ,  128  ,  5248  ,  0.7281  ,  0.0335
cbc-mac  ,  128  ,  5376  ,  0.7281  ,  0.0327
cbc-mac  ,  128  ,  5504  ,  0.7290  ,  0.0319
cbc-mac  ,  128  ,  5632  ,  0.7284  ,  0.0312
